"id","post_id","channel_title","post_description","view_count","like_count","comments_count","share_count","hashtags","post_datetime","post_date","post_time"
1,"7286605136984624430",GoPro,Spa day 💅 Just your daily reminder that our cameras clean up nice #gopro #carwash #carwashing #fyp #pov #wash ,5728,434,20,0,"gopro,carwash,carwashing,fyp,pov,wash","2023-10-05 22:29:38","2023-10-05","22:29:38"
2,"7286108175550434603",GoPro,Happy World Animal Day 🐘 Share this with a friend to celebrate. Captured by @JC Pieri #gopro #elephant #africa #safari #stampede #closecall #elephants #wildlifephotography ,7073,467,12,3,"gopro,elephant,africa,safari,stampede,closecall,elephants,wildlifephotography","2023-10-04 14:21:18","2023-10-04","14:21:18"
3,"7285006864960572715",GoPro,Human slingshot engaged 🦅 POV from Sajid Chougle’s #GoProMAX in Norway. #gopro #pov #base #basejump #basejumping #slingshot ,1700000,57100,278,535,"GoProMAX,gopro,pov,base,basejump,basejumping,slingshot","2023-10-01 15:07:32","2023-10-01","15:07:32"
4,"7283888109685804334",GoPro,Full speed ahead with @Korbinian_Engstler 💨 #gopro #bike #mtb #downhillmtb #speed #mountainbike #mountainbiking #pov,503800,20000,181,866,"gopro,bike,mtb,downhillmtb,speed,mountainbike,mountainbiking,pov","2023-09-28 14:46:11","2023-09-28","14:46:11"
5,"7283189455513537834",GoPro,Timing is eveything 🏌️‍♂️ #GoProFPV by @Jay Christensen #gopro #fpv #fpvdrone #goof #golftok #golfing #golftiktok #golftips ,691900,54500,139,636,"GoProFPV,gopro,fpv,fpvdrone,goof,golftok,golfing,golftiktok,golftips","2023-09-26 17:35:03","2023-09-26","17:35:03"
6,"7282145102137396522",GoPro,Welcome to Norway 🪂 🎬 @Villo’ with #GoProMAX ,4300000,247200,1265,3829,GoProMAX,"2023-09-23 22:02:22","2023-09-23","22:02:22"
7,"7280975935405346091",GoPro,"Sounds pretty nice right about now 🌴 Captired by Tahiti local, Stephane Mailion. #gopro #travel #traveltiktok #traveltok #travelbucketlist #tahiti #vacation ",37600,1710,39,32,"gopro,travel,traveltiktok,traveltok,travelbucketlist,tahiti,vacation","2023-09-20 18:25:22","2023-09-20","18:25:22"
8,"7280582886305090862",GoPro,Heat check 🔥 @Sebastian Schieren took his #GoProHERO12 Black in for a lava durability test and we passed with flying colors. #gopro #volcano #fpv #fpvdrone #lava #eruption #iceland,52400,2951,37,30,"GoProHERO12,gopro,volcano,fpv,fpvdrone,lava,eruption,iceland","2023-09-19 17:00:07","2023-09-19","17:00:07"
9,"7276585771966942507",GoPro,"Replying to @Laura Kane We redsigned our imaging pipeline, firmware, + software from the ground up so that HERO12 can provide 2x longer continuous runtimes for higher performance modes before the camera reaches its thermal limits. That means 70 mins of recording at 5.3K60—our highest setting 💪 @Villo’ on the bike ",75100,3040,52,10,"","2023-09-08 22:29:19","2023-09-08","22:29:19"
10,"7276159452577975598",GoPro,Replying to @Smoky motors why would you want a HERO11 instead of the new HERO12 Black anyways? 🤪 #gopro #dubai #travel #timelapse #citylife ,77800,4105,110,5,"gopro,dubai,travel,timelapse,citylife","2023-09-07 18:55:08","2023-09-07","18:55:08"
11,"7275696993685572906",GoPro,Meet #GoProHERO12 Black 📷 Our most feature packed HERO camera ever. Pre-order now at GoPro.com/HERO12.,87700,4622,197,221,GoProHERO12,"2023-09-06 13:00:25","2023-09-06","13:00:25"
12,"7273926113653574955",GoPro,The smallest + lightest camera in our lineup 😏 #gopro #axe #lumberjack #broken #pov #fyp ,524200,37900,361,54,"gopro,axe,lumberjack,broken,pov,fyp","2023-09-01 18:28:30","2023-09-01","18:28:30"
13,"7273481210888834350",GoPro,See ya ✌️Bike + BASE by Daniel Regan. #gopro #BASE #BASEjump #pov #mtb #mountainbike ,36100000,1100000,17400,11600,"gopro,BASE,BASEjump,pov,mtb,mountainbike","2023-08-31 13:42:06","2023-08-31","13:42:06"
14,"7272886125297962286",GoPro,Name a better spot for a manual… @Kilian Bron will probably go there 💪 #gopro #gopromtb #mtb #mtblife #mountianbike #pov #bike #balance ,5800000,322700,1319,3180,"gopro,gopromtb,mtb,mtblife,mountianbike,pov,bike,balance","2023-08-29 23:12:46","2023-08-29","23:12:46"
15,"7272368254763502891",GoPro,"Practice makes perfect, even in the summer 💪 Shot on #GoProMAX by @Anthony Robert. #gopro #bigair #skijumping #skijump #pov #speed",1100000,46000,166,96,"GoProMAX,gopro,bigair,skijumping,skijump,pov,speed","2023-08-28 13:43:29","2023-08-28","13:43:29"
16,"7272043520553192746",GoPro,It’s every man for themselves 😈 Shot on #GoProHERO11 Black Mini by Stu Telfer + company. #gopro #pov #speed #kayaking #race #racing #BC #vancouver ,59600000,3300000,23800,83500,"GoProHERO11,gopro,pov,speed,kayaking,race,racing,BC,vancouver","2023-08-27 16:43:02","2023-08-27","16:43:02"
17,"7271372221413739818",GoPro,We had to do it for science 🪓 How should we try to destroy our cameras next? #gopro #goprohero11 #destroyed #axe #lumberjack ,183000,4662,106,15,"gopro,goprohero11,destroyed,axe,lumberjack","2023-08-25 21:18:04","2023-08-25","21:18:04"
18,"7271030878623567150",GoPro,Replying to @Zach Richardson Ask + you shall receive 🏌️‍♂️ #gopro #goprohero11 #golf #golftok #golfing #golftiktok ,192100,6616,54,19,"gopro,goprohero11,golf,golftok,golfing,golftiktok","2023-08-24 23:13:32","2023-08-24","23:13:32"
19,"7270307021382126894",GoPro,GoPro vs Golf Ball 🥊 How should we try to destroy our cameras next? 🏌️‍♂️ @AJ Sjostrom. #gopro #golf #golftok #golftiktok #stinger #golfing #,196900,9947,55,9,"gopro,golf,golftok,golftiktok,stinger,golfing","2023-08-23 00:24:34","2023-08-23","00:24:34"
20,"7268423771839663403",GoPro,The good-est boy in town 🐶🐕 Shot on #GoProHERO11 Black. #gopro #dog #dogsoftiktok #goldenretrieverlife #goldenretrievers #puppy ,153100,3149,29,27,"GoProHERO11,gopro,dog,dogsoftiktok,goldenretrieverlife,goldenretrievers,puppy","2023-08-17 22:36:35","2023-08-17","22:36:35"
21,"7267704765360917806",GoPro,"Yeeted him 🦅 Fun times with Kasey English, Sam Dyer, + #GoProMAX. #gopro #skydiving #wingsuit #yeeted #skydive #pov ",136000,3630,25,30,"GoProMAX,gopro,skydiving,wingsuit,yeeted,skydive,pov","2023-08-16 00:06:29","2023-08-16","00:06:29"
22,"7267317141316078890",GoPro,Need for speed 💨 @Zach Clayton doesnt even need brakes on his MTB. Shot on #GoProMAX. #gopro #bike #mtb #biking #mountainbike #pov ,605500,38700,320,572,"GoProMAX,gopro,bike,mtb,biking,mountainbike,pov","2023-08-14 23:02:17","2023-08-14","23:02:17"
23,"7266092492318166315",GoPro,"A flight fit for Pharaohs 👑 Flown by @fredfugenSF, Vincent Cotte, + Aurélien Chatard with #GoProMAX. #gopro #wingsuit #skydive #skydiving #egypt #pyramids ",1000000,43600,359,502,"GoProMAX,gopro,wingsuit,skydive,skydiving,egypt,pyramids","2023-08-11 15:50:04","2023-08-11","15:50:04"
24,"7263572417841270058",GoPro,Just another day at the office for Benn Whitehead’s pup 🫡 #gopro #gopropets #dog #dogsoftiktok #sheepdog #sheepherding #goprohero11 ,153300,8259,59,90,"gopro,gopropets,dog,dogsoftiktok,sheepdog,sheepherding,goprohero11","2023-08-04 20:50:51","2023-08-04","20:50:51"
25,"7262778302316989742",GoPro,Into the depths with @Victor de Valles + his HERO11 Black. Did you nake it until the end? 🫁 #gopro #goprohero11 #freediving #diving #ibiza #breathing #breathhold ,102100,2494,71,19,"gopro,goprohero11,freediving,diving,ibiza,breathing,breathhold","2023-08-02 17:29:18","2023-08-02","17:29:18"
26,"7262123947225828650",GoPro,"🚨 GIVEAWAY 🚨 What’s your rig? We want to see the craziest, most creative, + most out-there camera set up that you’ve used. Our 4 favorites will snag a brand new HERO11 Black kit. To enter, duet this video + show us your most creative camera rig (all rigs are welcome!). The 4 winners will be announced + contacted on 8/7. #gopro #goprohero11 #giveaway #videography #fyp ",165100,11600,161,87,"gopro,goprohero11,giveaway,videography,fyp","2023-07-31 23:10:06","2023-07-31","23:10:06"
27,"7260975703758212394",GoPro,"If you didn’t know @Jaron, now you do 😎 #gopro #gopromax #imjarons #caught #caughtoncamera #pov #fyp",117600,5521,53,17,"gopro,gopromax,imjarons,caught,caughtoncamera,pov,fyp","2023-07-28 20:54:19","2023-07-28","20:54:19"
28,"7260228566246378795",GoPro,#SharkWeek throwback to #GoProFamily member @Andy B Casagrande IV’s hammerhead dorsal cam 😱 The contraption he used to attach his GoPro to the fin had an auto-release function set to a defined time so as to not cause any harm to the shark. This allowed researchers to safely study the movement patterns of this incredible species in a safe + responsible way. #gopro #shark #sharks #hammerheadshark #sharkencounter #fyp ,311100,25200,110,86,"SharkWeek,GoProFamily,gopro,shark,sharks,hammerheadshark,sharkencounter,fyp","2023-07-26 20:35:00","2023-07-26","20:35:00"
29,"7259445276807826734",GoPro,"Fish are friends, not food 👍 @Alex Kydd takes us up close + personal with an adult great white shark. #gopro #shark #sharks #sharkweek #greatwhiteshark #sharkdiver #sharkdiving ",92900,2747,28,14,"gopro,shark,sharks,sharkweek,greatwhiteshark,sharkdiver,sharkdiving","2023-07-24 17:55:38","2023-07-24","17:55:38"
30,"7258009290890349867",GoPro,The goodest boy + a creative GoPro mount 🐕🥺  Shot by @LukeBell with #GoProHERO11 Black Mini. #gopro #dogs #dog #pets #dogsoftiktok #dogtok #puppy ,772500,29100,109,73,"GoProHERO11,gopro,dogs,dog,pets,dogsoftiktok,dogtok,puppy","2023-07-20 21:03:03","2023-07-20","21:03:03"
31,"7257265095061835050",GoPro,"Just a relaxing, casual ride for Fran Pérez + Andy Schüler 😎 POV from #GoProHERO11 Black. #gopro #gopromtb #bike #mtb #mountainbike #mountainbiking #heights #fyp  ",7700000,372100,10600,23800,"GoProHERO11,gopro,gopromtb,bike,mtb,mountainbike,mountainbiking,heights,fyp","2023-07-18 20:55:11","2023-07-18","20:55:11"
32,"7256923546490916138",GoPro,"Summer hacks, BBQ edition 🍻🎥 Fun times at @GoPro Mountain Games #gopro #partytrick #bbq #cooler #colorado #gopromtngames #goprohero11 #creative #grill #cookout ",1200000,148300,246,654,"gopro,partytrick,bbq,cooler,colorado,gopromtngames,goprohero11,creative,grill,cookout","2023-07-17 22:49:56","2023-07-17","22:49:56"
33,"7255772547466136874",GoPro,Once-in-a-lifetime wave for @Pedro Boonman + #GoProHERO11 Black 🤤 #gopro #surfing #surf #barrel #barreled #skeletonbay #skeletonbarrel #namibia ,142100,12000,72,83,"GoProHERO11,gopro,surfing,surf,barrel,barreled,skeletonbay,skeletonbarrel,namibia","2023-07-14 20:23:23","2023-07-14","20:23:23"
34,"7254617134309838123",GoPro,Alex DiCecco has a lot of friends 😮 This crew of 200 gathered in the sky to attempt the head-down freefly world record... #gopro #skydiving #skydive #pov #fyp  ,110700,5766,129,53,"gopro,skydiving,skydive,pov,fyp","2023-07-11 17:39:46","2023-07-11","17:39:46"
