"id","video_id","channel_title","video_title","video_description","view_count","like_count","favorite_count","comments_count","hashtags","video_post_datetime","video_post_date","video_post_time","channel_id"
1,Im8HPvQ0yys,GoPro,"GoPro: Sending a Guitar to Space | World-First Live Music Performance (""STRATOSFEAR"" - KWOON)","GoPro Awards recipient ""KWOON"" is one talented + creative musician. His dream is to play live music in the most spectacular places on Earth—in nature, the wild, + where nobody has played a guitar solo before. In this iteration of his dream, KWOON performed a live recording of a new song while his chrome guitar floated 101,000 feet into space via a weather balloon. Thanks to GPS tracking, he was able to find the landing site + recover the GoPro + its footage so you could enjoy this music video from the stratosphere.

--------------------------------------------------------
Recommended Gear:
HERO12 Black: https://GoPro.com/HERO12
Protective Housing: https://GoPro.com/ProtectiveHousing
Enduro Battery: https://GoPro.com/Enduro
--------------------------------------------------------

Shot 100% on GoPro: https://GoPro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/


For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #HyperSmooth #Space #Guitar #Music",9059,517,0,64,"GoPro,HyperSmooth,Space,Guitar,Music","2023-10-06 20:15:01","2023-10-06","20:15:01",UCqhnX4jA0A5paNd1v-zEysw
2,a9PdU9xQeXk,GoPro,GoPro | Herd of Elephants Nearly Stomp on Camera 🎬 JC Pieri #Elephants #Shorts,It's rush hour on the Kenyan plains 🐘 $500 #GoProAwards recipient JC Pieri had his GoPro ready for the herd + was not disappointed with the footage when he returned to pick up his camera. #GoPro #Elephant #Africa #Wildlife #wildlifephotography,36251,2211,0,15,"GoProAwards,GoPro,Elephant,Africa,Wildlife,wildlifephotography","2023-10-02 14:00:00","2023-10-02","14:00:00",UCqhnX4jA0A5paNd1v-zEysw
3,sB60FSm6fcw,GoPro,GoPro | Human Slingshot into BASE Jump 🎬 Sajid Chougle #BASE #BASEJumping #Shorts,"$500 #GoProAwards recipient Sajid Chougle lives life to the fullest. He slung himself into flight with this unique contraption above the Fjords of Norway. Shot on our 360° camera, #GoProMAX. #GoPro #HyperSmooth #BASE #BASEJumping #Norway #Fjords",283265,14688,0,66,"GoProAwards,GoProMAX,GoPro,HyperSmooth,BASE,BASEJumping,Norway,Fjords","2023-10-01 14:00:38","2023-10-01","14:00:38",UCqhnX4jA0A5paNd1v-zEysw
4,XBoqsmBYG4Q,GoPro,GoPro | NHRA Drag Racing POV in Las Vegas 🎬 #Racing #LasVegas #Shorts,"GoPro | NHRA Drag Racing POV in Las Vegas 🎬 #Racing #LasVegas #Shorts

#GoProHERO12 Black + funny car 🤝 Hop onboard with Ron Capps Motorsports for a blazing fast 1/4 mile drag race at the Las Vegas Motor Speedway 🏁 #Vegas #LasVegas #Racing #DragRacing #Speed #NHRA",91775,4889,0,15,"Racing,LasVegas,Shorts,GoProHERO12,Vegas,LasVegas,Racing,DragRacing,Speed,NHRA","2023-09-29 14:00:19","2023-09-29","14:00:19",UCqhnX4jA0A5paNd1v-zEysw
5,"0h1aX7fQn3Y",GoPro,Redemption After Spinal Injury | Full Circle (2023) | Official Trailer | Trevor Kennison,"#GoPro #GoProSnow #HyperSmooth #Skiing #SitSkiBoss

A feature documentary from Level 1, coming to theaters Fall 2023. Find a screening near you and learn more at https://fullcirclefilm.co/

Faced with a traumatic injury that renders you permanently disabled, how would you reinvent yourself? In 2014, Trevor Kennison's life was forever altered by a broken back - for worse and for better, in equal measures.

Full Circle is both an unblinking examination of the challenges of life after spinal cord injury... and a celebration of the opportunity for growth that such a tragedy can present.

Featuring Trevor Kennison and Barry Corbet. A Level 1 Production, in association with Abramorama and XYZ Films. Directed by Josh Berman, and made possible with support from Eddie Bauer, Volkl Skis, SPY+, Fat Tire, CMH Heli Skiing, GoPro, Jackson Hole, Ikon Pass, High Fives Foundation, the KHR Family Fund, and Darn Tough VT.

Follow Level 1 Productions: https://www.instagram.com/level1/
Follow Trevor Kennison: https://www.instagram.com/trevor_kennison/
Find a screening near you and learn more at https://fullcirclefilm.co/
For more from GoPro, check out The Current: https://gopro.com/news",19630,788,0,33,"GoPro,GoProSnow,HyperSmooth,Skiing,SitSkiBoss","2023-09-29 13:00:02","2023-09-29","13:00:02",UCqhnX4jA0A5paNd1v-zEysw
6,tvjdwJg-Kfg,GoPro,GoPro | High-Speed MTB Manual Follow Cam 🎬 Korbinian Engstler #MTB #POV #Shorts,Could you keep up with Korbinian Engstler? 🚲💨 This high-speed mountain biking manual + speed run scored him a quick $500. #GoPro #GoProPOV #GoProMTB #HyperSmooth #Bike #DownhillMTB #POV #Speed #Austria,229196,17915,0,79,"GoPro,GoProPOV,GoProMTB,HyperSmooth,Bike,DownhillMTB,POV,Speed,Austria","2023-09-28 16:30:53","2023-09-28","16:30:53",UCqhnX4jA0A5paNd1v-zEysw
7,Qom3kEymw_M,GoPro,GoPro | Blind BASE Jump Through Clouds POV 🎬 Antoni Villoni #Shorts,"Wait for the reveal 😮 You'll usually find #GoProAthlete Antoni Villoni on a MTB, but today he was jumping from a 3,600 ft cliff in Norway. Shot with 360° Video Mode on #GoProMAX. #GoPro #GoProPOV #HyperSmooth #BASE #BASEJumping #Norway #Lysefjord

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",2311976,136742,0,472,"GoProAthlete,GoProMAX,GoPro,GoProPOV,HyperSmooth,BASE,BASEJumping,Norway,Lysefjord,GoPro","2023-09-23 14:00:31","2023-09-23","14:00:31",UCqhnX4jA0A5paNd1v-zEysw
8,RgwU5ePYu5A,GoPro,GoPro: Kayaking the Steepest Rideable Waterfall Section in the World | Dane Jackson,"Freestyle Kayak World Champion, Dane Jackson has a flair for the extreme, which is why he traveled to Santo Domingo, Mexico to tame the rapids of the mighty Angel Wings Falls. With 4 waterfalls spanning 300 vertical feet in just 1/5 mile, this section of river is the steepest navigable whitewater sequence in the world. The first drop of the series is Angel Wings Falls. Clocking in at 80ft, it demands perfection + confidence—Dane's forte. Strap into the boat for his HERO12 Black POV of this beautiful + one-of-a-kind water feature.

--------------------------------------------------------
Products used in this video:
HERO12 Black: https://GoPro.com/HERO12
Max Lens Mod 2.0: https://GoPro.com/MaxLensMod2
Floaty: https://GoPro.com/shop/mounts-accessories/floaty-floating-camera-case/ADFLT-001.html
Adhesive Mounts: https://GoPro.com/shop/mounts-accessories/curved-plus-flat-adhesive-mounts/AACFT-001.html
--------------------------------------------------------

Shot 100% on GoPro: https://GoPro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #GoProPOV #GoProFPV #HyperSmooth #Kayak #Waterfall",47684,1317,0,43,"GoPro,GoProPOV,GoProFPV,HyperSmooth,Kayak,Waterfall","2023-09-22 17:08:03","2023-09-22","17:08:03",UCqhnX4jA0A5paNd1v-zEysw
9,K4KUzJe4DRc,GoPro,GoPro | Biking Down a River Bed POV 🎬 Rémy Métailler #Shorts,"Slippery when wet ⚠️ #GoProAthlete @remymetailler seems to find grip where no others can on this soaking wet trail in Quebec City. Shot on #GoProMAX. #GoPro #GoProPOV #HyperSmooth #GoProMTB #Bike #MTB #POV #DownhillMTB

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",308957,17322,0,86,"GoProAthlete,GoProMAX,GoPro,GoProPOV,HyperSmooth,GoProMTB,Bike,MTB,POV,DownhillMTB,GoPro","2023-09-21 14:00:13","2023-09-21","14:00:13",UCqhnX4jA0A5paNd1v-zEysw
10,HzVJVIXGedc,GoPro,GoPro | Experimental Rocket Car Speed Run 🎬 Bob Maddox #Shorts,"#GoProHERO12 Black experienced the thrill of his triple valveless pulsejet rocket car in Nevada's Black Rock Desert. Safe to say that Bob is living his best life 😎 #GoPro #HyperSmooth #GoProMoto #SaltFlats #Nevada #Speed

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ
GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",231050,11751,0,74,"GoProHERO12,GoPro,HyperSmooth,GoProMoto,SaltFlats,Nevada,Speed,GoPro","2023-09-19 14:30:06","2023-09-19","14:30:06",UCqhnX4jA0A5paNd1v-zEysw
11,lWt1EgIpWPQ,GoPro,GoPro | Drone Flies Into Erupting Volcano 🎬 Sebastian Schieren #Shorts,"GoPro Awards recipient Sebastian Schieren took his #GoProFPV drone in for a closer view of this eruption when he traveled to Iceland #GoPro #HyperSmooth #FPV #Iceland #Volcano #Lava

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ
GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro: https://GoPro.com

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",225590,12803,0,97,"GoProFPV,GoPro,HyperSmooth,FPV,Iceland,Volcano,Lava,GoPro","2023-09-17 19:32:05","2023-09-17","19:32:05",UCqhnX4jA0A5paNd1v-zEysw
12,"3Rve-rP2wkI",GoPro,GoPro: First Ever Cliffhanger Front Flip | POV + BTS from The Nines MTB 2023,"Every year, the world's most talented mountain biking athletes gather at The Swatch Nines to push the limits of the sport on a one-of-a-kind jump line. This year, GoPro Athlete Bienvenido Aguado took freestyle biking to the next level by stomping the world's first Cliffhanger Front Flip. Join us for a behind-the-scenes look at what all goes down to make a historic trick like this come to fruition. Special thanks to Casey Brown, Elias Ruso, Sam Reynolds, + Nicholi Rogatkin for all of the coverage from Green Hill Bikepark in Germany.

--------------------------------------------------------
Products used in this video:
HERO12 Black: https://GoPro.com/HERO12
Max Lens Mod 2.0: https://GoPro.com/MaxLensMod2
Enduro Battery: https://GoPro.com/Enduro
Chesty: https://GoPro.com/shop/mounts-accessories/chesty/AGCHM-001.html
Adhesive Mounts: https://GoPro.com/shop/mounts-accessories/curved-plus-flat-adhesive-mounts/AACFT-001.html
--------------------------------------------------------

Shot 100% on GoPro: https://gopro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #GoProHERO12 #GoProMTB #MTB #MountainBiking",39557,1414,0,49,"GoPro,GoProHERO12,GoProMTB,MTB,MountainBiking","2023-09-15 18:15:00","2023-09-15","18:15:00",UCqhnX4jA0A5paNd1v-zEysw
13,_oK1LAqIv3U,GoPro,GoPro | The Ultimate Coordination Test 🎬 Jason Paul #Shorts,"The ultimate POV camera takes on the ultimate coordination test at this public art installation in Germany 🎥🏃‍♂️ Shot on #GoProHERO12 Black with Max Lens Mod 2.0 by #GoProAthlete Jason Paul. #GoPro #GoProPOV #HyperSmooth #FreeRunning #Parkour #Balance #POV

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",120491713,3220420,0,26305,"GoProHERO12,GoProAthlete,GoPro,GoProPOV,HyperSmooth,FreeRunning,Parkour,Balance,POV,GoPro","2023-09-12 14:00:20","2023-09-12","14:00:20",UCqhnX4jA0A5paNd1v-zEysw
14,kkDFB5ZU5VQ,GoPro,GoPro | HERO12 Black 📷 Automatic Highlight Videos Sent to Your Phone,"#GoPro #GoProHERO12 #HyperSmooth #GoProSurf #Surfing #Surf #SurfTrip

Capture. Charge. Chill. That’s all it takes to get incredible highlight videos sent to your phone. Simply plug your HERO12 in after a day of filming + relax as your content uploads to the cloud at 100% quality. The @quik app will edit your footage with beat-synced music + effects, then notify you when your personalized Auto Highlight Video is ready to watch + share. It's that easy.

Pre-order now at http://GoPro.com/HERO12

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",140818,6462,0,16,"GoPro,GoProHERO12,HyperSmooth,GoProSurf,Surfing,Surf,SurfTrip,GoPro","2023-09-09 21:00:19","2023-09-09","21:00:19",UCqhnX4jA0A5paNd1v-zEysw
15,"7omRWJ2YEQk",GoPro,GoPro | HERO12 Black 📷 New Bluetooth Audio Support,"#GoPro #GoProHERO12 #HyperSmooth #Videography #Vlogging

Wireless audio for professional sound + extended range. HERO12 Black connects to Apple AirPods, Bluetooth earbuds, or other wireless mics. This new feature allows vloggers + creators to record audio from their connected device, in addition to the natural audio from the camera. You can also control HERO12 with Voice Control via your connected headset + hear camera alerts to ensure it's doing what you intended. After your get the shot, use playback mode + listen to the audio directly in your ears.

Pre-order now at https://GoPro.com/HERO12

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",131845,5288,0,38,"GoPro,GoProHERO12,HyperSmooth,Videography,Vlogging,GoPro","2023-09-09 17:00:08","2023-09-09","17:00:08",UCqhnX4jA0A5paNd1v-zEysw
16,SnRjG46mNCk,GoPro,GoPro | HERO12 Black 📷 Waterproof + Ultra Durable,"#GoPro #GoProHERO12 #GoProSurf #GoProMoto #HyperSmooth

HERO12 Black can take a beating. Straight out of the box, it's waterproof to 33ft (10m) + ready for thick mud, deep snow, + pounding surf. The replaceable lens cover also features a water-repellant coating that sheds water droplets to keep your shots crystal clear when you're in the water. Max Lens Mod 2.0 is no different, with a 2x more scratch resistant coating that's also hydrophobic + waterproof.

Pre-order HERO12 Black + Max Lens Mod 2.0 at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",204196,6214,0,16,"GoPro,GoProHERO12,GoProSurf,GoProMoto,HyperSmooth,GoPro","2023-09-09 13:00:30","2023-09-09","13:00:30",UCqhnX4jA0A5paNd1v-zEysw
17,jcfgWl4aJwM,GoPro,GoPro | HERO12 Black 📷 Updated Night Effects,"HERO12 Black shines when the sun goes down. Its 3 Time Lapse Modes let you get creative in the dead of night, even with Max Lens Mod 2.0 attached. Alongside each Night Effects video you capture, HERO12 Black will also output a high-resolution photo for an easy way to share your masterpiece.

With the push of a button, you can capture:
💫 Star Trails - Use the Earth’s rotation + stars to capture beautiful light trails across the night sky.
🎨 Light Painting - Create brilliant brush stroke effects with moving light.
🚗 Vehicle Light Trails - Blend night-time traffic to record stunning light trail shots.

Pre-order HERO12 Black + Max Lens Mod 2.0 at https://GoPro.com/HERO12Bundle

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",66915,4105,0,24,GoPro,"2023-09-08 21:00:21","2023-09-08","21:00:21",UCqhnX4jA0A5paNd1v-zEysw
